date,month,day_of_week,sku,sku_id,supplier,supplier_id,warehouse,warehouse_id,route,transport_mode,distance_km,transit_time_days,transit_delay_prob,is_perishable,shelf_life_days,unit_cost,shipping_cost,storage_cost_per_day,holding_cost_per_unit_per_day,base_daily_demand,observed_daily_demand,seasonal_multiplier,promotion,inventory_on_hand,lead_time_days,safety_stock,reorder_point,stockout_risk,supplier_order_cost,supplier_min_order_qty,eoq_monthly,recommended_order_qty,product_name
2024-06-11,6,1,SKU-055,55,Supplier-11,11,Warehouse-5,5,Route-13,Truck,771,10,0.01,0,132,21.54,104.26,0.0761,0.01,10,22,1.103,1,16,21,13,223,0.984,107.32,5,463,346,FreshPick Onions
2024-01-19,1,4,SKU-041,41,Supplier-12,12,Warehouse-4,4,Route-18,Truck,2183,27,0.401,0,14,91.1,160.02,0.1356,0.0304,20,28,1.0,0,23,21,48,468,0.99,100.36,1,363,363,MilkyWay Butter
2024-04-26,4,4,SKU-040,40,Supplier-02,2,Warehouse-2,2,Route-10,Truck,1358,17,0.165,1,11,112.16,233.23,1.4713,0.0374,7,6,1.0,0,8,21,14,161,0.99,119.97,1,212,212,CrunchyJoy Cream Biscuits
2024-11-20,11,2,SKU-048,48,Supplier-02,2,Warehouse-4,4,Route-04,Truck,2245,28,0.154,0,5,24.72,234.52,0.3258,0.01,5,11,1.374,0,10,21,11,116,0.99,119.97,1,346,210,RichCream Whipping Cream
2024-12-21,12,5,SKU-046,46,Supplier-02,2,Warehouse-4,4,Route-06,Truck,835,10,0.1,0,12,153.49,164.86,1.3558,0.0512,17,29,1.466,0,10,21,39,396,0.99,119.97,1,282,282,MilkMate Full Cream Milk
2024-01-29,1,0,SKU-020,20,Supplier-01,1,Warehouse-1,1,Route-11,Truck,1269,16,0.307,0,88,179.63,125.89,1.3903,0.0599,19,15,1.0,0,18,5,12,107,0.637,92.21,1,242,162,SelectPulse Moth Beans
2024-03-15,3,4,SKU-019,19,Supplier-06,6,Warehouse-3,3,Route-14,Truck,163,2,0.053,1,95,67.41,20.64,0.2614,0.0225,7,3,1.0,0,15,5,8,43,0.551,78.57,5,221,94,DailyKitchen Green Gram
2024-12-15,12,6,SKU-016,16,Supplier-09,9,Warehouse-4,4,Route-19,Rail,415,3,0.076,0,74,181.0,82.48,2.228,0.0603,16,25,1.412,0,16,14,19,243,0.948,98.8,5,229,229,GreenHarvest Rajma
2024-02-10,2,5,SKU-051,51,Supplier-03,3,Warehouse-2,2,Route-06,Truck,996,12,0.359,0,57,19.19,35.33,0.2364,0.01,20,21,1.0,0,12,10,39,239,0.931,142.82,10,756,454,GreenLeaf Spinach
2024-09-11,9,2,SKU-040,40,Supplier-07,7,Warehouse-5,5,Route-08,Sea,1197,40,0.383,1,14,112.16,56.34,2.1172,0.0374,7,7,1.0,0,14,5,3,38,0.53,36.79,20,117,59,CrunchyJoy Cream Biscuits
2024-08-24,8,5,SKU-059,59,Supplier-10,10,Warehouse-2,2,Route-08,Air,1683,3,0.121,0,68,163.5,157.24,2.164,0.0545,6,10,1.0,1,13,10,12,72,0.868,49.72,20,105,91,DailyVeg Cabbage
2024-12-07,12,5,SKU-041,41,Supplier-05,5,Warehouse-4,4,Route-09,Truck,130,2,0.204,0,14,91.1,20.13,1.4754,0.0304,20,40,1.42,1,18,5,16,116,0.643,52.16,10,262,177,MilkyWay Butter
2024-03-21,3,3,SKU-001,1,Supplier-08,8,Warehouse-3,3,Route-18,Air,1567,3,0.25,1,214,60.0,222.34,0.3185,0.02,15,17,1.0,0,18,2,5,35,0.227,144.03,5,465,157,FreshHarvest Basmati Rice
2024-06-02,6,6,SKU-005,5,Supplier-08,8,Warehouse-3,3,Route-19,Truck,137,2,0.441,0,321,198.15,16.23,3.3574,0.066,17,23,1.183,0,14,2,8,42,0.323,144.03,5,272,110,GrainLand Idli Rice
2024-08-21,8,2,SKU-041,41,Supplier-07,7,Warehouse-6,6,Route-09,Truck,2399,30,0.098,0,8,91.1,461.02,0.17,0.0304,20,21,1.0,0,21,5,19,119,0.633,36.79,20,220,164,MilkyWay Butter
2024-09-04,9,2,SKU-055,55,Supplier-05,5,Warehouse-2,2,Route-13,Air,316,1,0.039,0,60,21.54,61.38,0.3016,0.01,10,5,1.0,0,8,5,4,54,0.602,52.16,10,323,143,FreshPick Onions
2024-07-02,7,1,SKU-007,7,Supplier-04,4,Warehouse-4,4,Route-19,Truck,69,1,0.344,0,70,77.54,10.14,0.5422,0.0258,8,13,1.165,0,13,10,9,89,0.881,130.45,5,284,161,PureHarvest Poha
2024-01-12,1,4,SKU-037,37,Supplier-05,5,Warehouse-6,6,Route-10,Truck,1371,17,0.282,0,277,22.79,221.65,0.1743,0.01,10,12,1.0,0,11,5,11,61,0.657,52.16,10,323,147,SnackMagic Masala Chips
2024-01-05,1,4,SKU-054,54,Supplier-11,11,Warehouse-4,4,Route-09,Sea,2445,82,0.321,1,6,20.86,304.48,0.1873,0.01,7,7,1.0,0,10,21,11,158,0.99,107.32,5,388,264,VegVille Carrots
2024-11-06,11,2,SKU-037,37,Supplier-11,11,Warehouse-6,6,Route-02,Air,1012,2,0.196,0,234,22.79,45.61,0.1943,0.01,10,19,1.512,0,10,21,19,229,0.99,107.32,5,463,358,SnackMagic Masala Chips
2024-11-06,11,2,SKU-048,48,Supplier-08,8,Warehouse-3,3,Route-08,Truck,900,11,0.104,0,6,24.72,111.62,0.2847,0.01,5,7,1.577,0,14,2,3,13,0.01,144.03,5,380,114,RichCream Whipping Cream
2024-11-13,11,2,SKU-052,52,Supplier-06,6,Warehouse-2,2,Route-07,Truck,660,8,0.159,0,9,165.26,79.46,2.081,0.0551,15,24,1.484,0,16,5,14,89,0.636,78.57,5,207,135,FarmFresh Tomatoes
2024-11-17,11,6,SKU-017,17,Supplier-11,11,Warehouse-6,6,Route-05,Truck,721,9,0.488,0,84,103.52,80.81,0.4466,0.0345,19,26,1.268,0,17,21,33,432,0.99,107.32,5,344,344,ProteinRich Kabuli Chana
2024-06-07,6,4,SKU-007,7,Supplier-11,11,Warehouse-6,6,Route-02,Truck,498,6,0.28,0,171,77.54,81.05,0.7106,0.0258,8,9,1.238,0,13,21,23,191,0.99,107.32,5,258,255,PureHarvest Poha
2024-07-05,7,4,SKU-051,51,Supplier-08,8,Warehouse-1,1,Route-19,Sea,1474,49,0.243,0,86,19.19,167.9,0.0818,0.01,20,19,1.222,0,16,2,12,52,0.325,144.03,5,759,264,GreenLeaf Spinach
2024-06-16,6,6,SKU-047,47,Supplier-03,3,Warehouse-1,1,Route-10,Truck,1675,21,0.124,0,13,125.55,320.7,1.7454,0.0419,13,16,1.135,0,21,10,19,149,0.871,142.82,10,298,217,NutriDairy Toned Milk
2024-03-08,3,4,SKU-048,48,Supplier-07,7,Warehouse-2,2,Route-07,Sea,647,22,0.177,0,5,24.72,102.69,0.3808,0.01,5,6,1.0,0,5,5,7,32,0.671,36.79,20,192,85,RichCream Whipping Cream
2024-09-13,9,4,SKU-051,51,Supplier-09,9,Warehouse-3,3,Route-17,Truck,1732,22,0.148,0,134,19.19,214.88,0.2851,0.01,20,20,1.0,0,17,14,40,320,0.966,98.8,5,629,492,GreenLeaf Spinach
2024-09-03,9,1,SKU-059,59,Supplier-05,5,Warehouse-2,2,Route-09,Truck,1019,13,0.027,0,56,163.5,166.35,1.3136,0.0545,6,5,1.0,0,15,5,3,33,0.448,52.16,10,107,50,DailyVeg Cabbage
2024-02-28,2,2,SKU-052,52,Supplier-05,5,Warehouse-6,6,Route-11,Air,1220,2,0.169,0,6,165.26,99.08,2.9142,0.0551,15,12,1.0,0,16,5,4,79,0.583,52.16,10,169,114,FarmFresh Tomatoes
2024-12-12,12,3,SKU-030,30,Supplier-02,2,Warehouse-2,2,Route-08,Air,1256,3,0.137,1,188,92.45,224.49,1.5019,0.0308,15,25,1.536,0,26,21,19,334,0.99,119.97,1,342,342,DailyPress Sesame Oil
2024-07-06,7,5,SKU-047,47,Supplier-11,11,Warehouse-4,4,Route-18,Truck,2364,30,0.311,0,8,125.55,341.94,1.8955,0.0419,13,17,1.336,0,18,21,33,306,0.99,107.32,5,258,258,NutriDairy Toned Milk
2024-10-01,10,1,SKU-006,6,Supplier-07,7,Warehouse-1,1,Route-09,Truck,2092,26,0.357,0,237,85.46,219.67,1.0667,0.0285,14,13,1.0,0,22,5,6,76,0.571,36.79,20,190,111,HealthyGrain Millet Mix
2024-10-26,10,5,SKU-008,8,Supplier-08,8,Warehouse-3,3,Route-09,Air,1680,3,0.054,1,351,156.4,164.73,0.491,0.0521,6,4,1.0,0,15,2,5,17,0.069,144.03,5,182,57,SelectGrain Barley
2024-12-11,12,2,SKU-025,25,Supplier-11,11,Warehouse-3,3,Route-04,Air,752,2,0.456,0,513,67.27,150.48,0.7629,0.0224,3,6,1.171,1,9,21,9,72,0.99,107.32,5,170,114,LiteChoice Olive Oil
2024-10-14,10,0,SKU-015,15,Supplier-08,8,Warehouse-1,1,Route-20,Truck,2200,28,0.59,0,33,25.11,209.65,0.3092,0.01,18,16,1.0,0,17,2,9,45,0.325,144.03,5,720,244,HealthyBite Masoor Dal
2024-11-21,11,3,SKU-021,21,Supplier-10,10,Warehouse-2,2,Route-03,Truck,1150,14,0.352,0,237,80.89,233.16,0.997,0.027,12,18,1.503,0,20,10,13,133,0.881,49.72,20,210,176,PureDrop Sunflower Oil
2024-11-28,11,3,SKU-053,53,Supplier-08,8,Warehouse-6,6,Route-10,Truck,309,4,0.122,1,177,142.72,41.82,0.4658,0.0476,18,19,1.564,0,24,2,5,41,0.183,144.03,5,330,116,NatureBasket Potatoes
2024-01-20,1,5,SKU-027,27,Supplier-02,2,Warehouse-2,2,Route-02,Truck,98,1,0.191,0,86,190.37,23.4,1.797,0.0635,6,6,1.0,0,14,21,5,131,0.99,119.97,1,151,151,DesiTreat Cow Ghee
2024-04-30,4,1,SKU-020,20,Supplier-08,8,Warehouse-1,1,Route-04,Truck,2145,27,0.458,0,132,179.63,142.52,1.5567,0.0599,19,18,1.0,0,16,2,18,56,0.388,144.03,5,302,131,SelectPulse Moth Beans
2024-08-20,8,1,SKU-057,57,Supplier-09,9,Warehouse-2,2,Route-13,Air,610,1,0.304,0,119,77.98,112.27,0.6364,0.026,3,4,1.0,0,15,14,3,45,0.886,98.8,5,151,75,FreshChoice Cauliflower
2024-08-02,8,4,SKU-024,24,Supplier-11,11,Warehouse-6,6,Route-18,Sea,752,25,0.226,1,441,22.8,32.94,0.2978,0.01,7,5,1.0,0,22,21,9,156,0.99,107.32,5,388,250,FarmPure Groundnut Oil
2024-07-31,7,2,SKU-038,38,Supplier-12,12,Warehouse-6,6,Route-05,Truck,2389,30,0.279,0,5,101.41,272.93,0.1269,0.0338,8,9,1.323,0,18,21,5,173,0.99,100.36,1,218,218,ChocoLand Choco-Chip Cookies
2024-07-27,7,5,SKU-042,42,Supplier-02,2,Warehouse-4,4,Route-20,Air,1365,3,0.122,0,5,178.1,231.89,1.8814,0.0594,10,18,1.33,1,12,21,15,225,0.99,119.97,1,201,201,FreshDairy Paneer
2024-04-21,4,6,SKU-018,18,Supplier-01,1,Warehouse-6,6,Route-12,Rail,949,8,0.129,0,137,166.16,87.47,3.1768,0.0554,3,4,1.0,0,7,5,1,16,0.453,92.21,1,100,39,FreshPulse Yellow Split Peas
2024-02-20,2,1,SKU-029,29,Supplier-08,8,Warehouse-2,2,Route-12,Truck,1572,20,0.116,0,228,128.21,126.62,0.9438,0.0427,6,7,1.0,0,12,2,3,15,0.105,144.03,5,201,63,NutriOil Rice Bran Oil
2024-02-01,2,3,SKU-044,44,Supplier-06,6,Warehouse-5,5,Route-12,Rail,961,8,0.164,1,154,27.83,124.56,0.3677,0.01,15,18,1.0,0,12,5,19,94,0.679,78.57,5,485,228,DailyPure Curd
2024-08-20,8,1,SKU-026,26,Supplier-05,5,Warehouse-2,2,Route-04,Rail,283,2,0.172,1,453,190.26,31.28,2.6847,0.0634,13,11,1.0,0,16,5,6,71,0.585,52.16,10,146,99,TastyDrop Coconut Oil
2024-01-11,1,3,SKU-006,6,Supplier-11,11,Warehouse-2,2,Route-20,Truck,376,5,0.133,0,267,85.46,20.13,0.8711,0.0285,14,9,1.0,0,14,21,9,303,0.99,107.32,5,325,325,HealthyGrain Millet Mix
2024-10-16,10,2,SKU-004,4,Supplier-06,6,Warehouse-2,2,Route-05,Truck,1341,17,0.142,0,209,162.33,264.75,1.2074,0.0541,9,16,1.0,1,15,5,9,54,0.59,78.57,5,162,88,RoyalKitchen Sona Masoori Rice
2024-10-27,10,6,SKU-014,14,Supplier-02,2,Warehouse-5,5,Route-07,Rail,1167,10,0.336,0,118,152.14,232.93,1.1411,0.0507,19,9,1.0,0,26,21,21,420,0.99,119.97,1,300,300,DailyFresh Urad Dal
2024-11-01,11,4,SKU-014,14,Supplier-04,4,Warehouse-3,3,Route-05,Truck,914,11,0.271,0,170,152.14,164.91,2.4794,0.0507,19,27,1.37,0,17,10,35,225,0.914,130.45,5,313,302,DailyFresh Urad Dal
2024-10-03,10,3,SKU-001,1,Supplier-05,5,Warehouse-2,2,Route-05,Truck,1874,23,0.478,1,234,60.0,109.31,0.6821,0.02,15,18,1.0,0,16,5,12,87,0.657,52.16,10,280,155,FreshHarvest Basmati Rice
2024-03-08,3,4,SKU-017,17,Supplier-03,3,Warehouse-1,1,Route-01,Truck,2245,28,0.23,0,63,103.52,133.31,0.3463,0.0345,19,9,1.0,0,30,10,22,212,0.874,142.82,10,397,301,ProteinRich Kabuli Chana
2024-06-14,6,4,SKU-001,1,Supplier-06,6,Warehouse-2,2,Route-19,Truck,1381,17,0.288,1,195,60.0,273.09,0.9375,0.02,15,28,1.062,1,14,5,20,95,0.687,78.57,5,343,184,FreshHarvest Basmati Rice
2024-03-05,3,1,SKU-002,2,Supplier-03,3,Warehouse-3,3,Route-02,Truck,2041,26,0.24,0,223,39.6,362.29,0.2954,0.0132,11,9,1.0,0,21,10,10,120,0.856,142.82,10,488,245,GoldenField Brown Rice
2024-02-02,2,4,SKU-048,48,Supplier-07,7,Warehouse-5,5,Route-04,Truck,422,5,0.131,0,9,24.72,12.83,0.1242,0.01,5,1,1.0,0,17,5,4,29,0.388,36.79,20,192,70,RichCream Whipping Cream
2024-10-30,10,2,SKU-031,31,Supplier-08,8,Warehouse-3,3,Route-17,Truck,2326,29,0.335,0,5,62.18,285.94,0.6913,0.0207,9,10,1.0,0,14,2,7,25,0.248,144.03,5,354,117,CrunchBite Butter Biscuits
2024-11-10,11,6,SKU-007,7,Supplier-08,8,Warehouse-5,5,Route-08,Rail,1670,14,0.238,0,141,77.54,193.38,0.5703,0.0258,8,11,1.225,0,17,2,3,19,0.072,144.03,5,299,92,PureHarvest Poha
2024-06-03,6,0,SKU-003,3,Supplier-12,12,Warehouse-6,6,Route-17,Truck,1399,17,0.2,0,188,151.37,155.1,0.257,0.0505,14,17,1.292,0,19,21,16,310,0.99,100.36,1,236,236,DailyGrain Wheat Flour
2024-09-02,9,0,SKU-030,30,Supplier-11,11,Warehouse-1,1,Route-02,Truck,2431,30,0.446,1,356,92.45,86.02,0.8463,0.0308,15,23,1.0,1,21,21,10,325,0.99,107.32,5,323,323,DailyPress Sesame Oil
2024-09-08,9,6,SKU-055,55,Supplier-07,7,Warehouse-4,4,Route-04,Truck,1446,18,0.118,0,51,21.54,139.76,0.1289,0.01,10,7,1.0,0,15,5,3,53,0.541,36.79,20,271,119,FreshPick Onions
2024-06-13,6,3,SKU-046,46,Supplier-08,8,Warehouse-1,1,Route-03,Truck,275,3,0.108,0,11,153.49,56.0,2.9825,0.0512,17,17,1.185,0,19,2,7,41,0.238,144.03,5,309,115,MilkMate Full Cream Milk
2024-05-20,5,0,SKU-039,39,Supplier-03,3,Warehouse-1,1,Route-05,Rail,711,6,0.039,0,91,16.22,46.99,0.1846,0.01,11,14,1.0,0,15,10,19,129,0.876,142.82,10,561,282,FreshBake Rusk
2024-12-30,12,0,SKU-040,40,Supplier-11,11,Warehouse-5,5,Route-18,Truck,2409,30,0.51,1,7,112.16,303.41,2.0995,0.0374,7,11,1.533,0,14,21,3,150,0.99,107.32,5,200,196,CrunchyJoy Cream Biscuits
2024-05-30,5,3,SKU-021,21,Supplier-07,7,Warehouse-5,5,Route-17,Truck,1562,20,0.449,0,404,80.89,225.46,1.2496,0.027,12,10,1.0,0,21,5,17,77,0.649,36.79,20,181,110,PureDrop Sunflower Oil
2024-02-20,2,1,SKU-030,30,Supplier-09,9,Warehouse-5,5,Route-14,Truck,1545,19,0.181,1,393,92.45,93.67,1.822,0.0308,15,12,1.0,0,21,14,12,222,0.948,98.8,5,310,294,DailyPress Sesame Oil
2024-04-20,4,5,SKU-051,51,Supplier-12,12,Warehouse-1,1,Route-18,Truck,1120,14,0.298,0,63,19.19,50.31,0.3217,0.01,20,17,1.0,0,21,21,10,430,0.99,100.36,1,634,599,GreenLeaf Spinach
2024-06-22,6,5,SKU-028,28,Supplier-08,8,Warehouse-2,2,Route-14,Sea,696,23,0.526,1,167,116.82,119.73,0.5714,0.0389,14,27,1.275,1,19,2,13,41,0.321,144.03,5,322,119,PureGold Buffalo Ghee
2024-02-18,2,6,SKU-053,53,Supplier-08,8,Warehouse-4,4,Route-14,Rail,949,8,0.072,1,104,142.72,63.49,2.7125,0.0476,18,9,1.0,0,21,2,17,53,0.305,144.03,5,330,131,NatureBasket Potatoes
2024-07-10,7,2,SKU-021,21,Supplier-07,7,Warehouse-3,3,Route-09,Truck,578,7,0.179,0,507,80.89,57.22,0.6262,0.027,12,15,1.277,0,17,5,14,74,0.628,36.79,20,181,111,PureDrop Sunflower Oil
2024-02-16,2,4,SKU-010,10,Supplier-11,11,Warehouse-4,4,Route-03,Truck,1266,16,0.231,0,288,186.5,257.75,1.4914,0.0622,9,14,1.0,0,13,21,14,203,0.99,107.32,5,176,176,HomeChoice Broken Rice
2024-02-19,2,0,SKU-054,54,Supplier-02,2,Warehouse-1,1,Route-14,Truck,1996,25,0.119,1,5,20.86,291.44,0.404,0.01,7,10,1.0,0,19,21,14,161,0.99,119.97,1,410,265,VegVille Carrots
2024-10-11,10,4,SKU-048,48,Supplier-12,12,Warehouse-3,3,Route-05,Truck,517,6,0.213,0,9,24.72,38.65,0.2655,0.01,5,4,1.0,0,13,21,14,119,0.99,100.36,1,317,201,RichCream Whipping Cream
2024-06-17,6,0,SKU-004,4,Supplier-10,10,Warehouse-5,5,Route-18,Truck,1952,24,0.048,0,236,162.33,167.68,3.0613,0.0541,9,12,1.307,0,11,10,8,98,0.857,49.72,20,129,126,RoyalKitchen Sona Masoori Rice
2024-12-06,12,4,SKU-043,43,Supplier-02,2,Warehouse-4,4,Route-12,Sea,711,24,0.438,1,13,73.43,72.71,0.9188,0.0245,14,19,1.368,0,8,21,32,326,0.99,119.97,1,370,370,CreamLand Cheese
2024-05-27,5,0,SKU-049,49,Supplier-07,7,Warehouse-6,6,Route-02,Truck,1197,15,0.308,0,5,21.4,224.72,0.2715,0.01,12,14,1.0,0,22,5,11,71,0.586,36.79,20,297,138,SoftSpread Cheese Spread
2024-10-22,10,1,SKU-039,39,Supplier-05,5,Warehouse-3,3,Route-04,Sea,713,24,0.234,0,102,16.22,71.48,0.0638,0.01,11,4,1.0,0,25,5,11,66,0.546,52.16,10,339,143,FreshBake Rusk
2024-04-24,4,2,SKU-033,33,Supplier-04,4,Warehouse-2,2,Route-16,Truck,2416,30,0.141,1,6,136.14,407.68,0.1521,0.0454,9,7,1.0,0,12,10,8,98,0.863,130.45,5,227,154,ChocoMelt Cookies
2024-07-07,7,6,SKU-055,55,Supplier-02,2,Warehouse-3,3,Route-18,Sea,2488,83,0.246,0,168,21.54,488.58,0.0908,0.01,10,11,1.077,0,14,21,24,234,0.99,119.97,1,490,367,FreshPick Onions
2024-08-07,8,2,SKU-008,8,Supplier-05,5,Warehouse-5,5,Route-08,Air,1740,3,0.21,1,206,156.4,96.01,2.4509,0.0521,6,11,1.0,0,14,5,6,36,0.535,52.16,10,110,55,SelectGrain Barley
2024-12-11,12,2,SKU-055,55,Supplier-09,9,Warehouse-5,5,Route-20,Truck,2026,25,0.366,0,120,21.54,278.02,0.0253,0.01,10,13,1.306,0,19,14,11,151,0.963,98.8,5,445,266,FreshPick Onions
2024-12-02,12,0,SKU-042,42,Supplier-09,9,Warehouse-1,1,Route-20,Truck,1427,18,0.154,0,8,178.1,155.06,0.4909,0.0594,10,15,1.35,1,16,14,7,147,0.941,98.8,5,182,182,FreshDairy Paneer
2024-04-02,4,1,SKU-054,54,Supplier-12,12,Warehouse-3,3,Route-01,Truck,690,9,0.244,1,8,20.86,54.68,0.2155,0.01,7,9,1.0,0,11,21,16,163,0.99,100.36,1,375,264,VegVille Carrots
2024-06-28,6,4,SKU-018,18,Supplier-12,12,Warehouse-3,3,Route-11,Truck,2458,31,0.367,0,70,166.16,356.94,0.4458,0.0554,3,4,1.143,1,11,21,6,69,0.99,100.36,1,104,89,FreshPulse Yellow Split Peas
2024-12-02,12,0,SKU-001,1,Supplier-03,3,Warehouse-2,2,Route-19,Truck,2383,30,0.159,1,241,60.0,104.55,0.6811,0.02,15,24,1.418,0,17,10,8,158,0.861,142.82,10,463,280,FreshHarvest Basmati Rice
2024-02-16,2,4,SKU-026,26,Supplier-02,2,Warehouse-2,2,Route-01,Truck,551,7,0.107,1,289,190.26,44.5,3.0827,0.0634,13,8,1.0,0,13,21,30,303,0.99,119.97,1,222,222,TastyDrop Coconut Oil
2024-08-02,8,4,SKU-048,48,Supplier-09,9,Warehouse-2,2,Route-13,Truck,788,10,0.067,0,6,24.72,60.13,0.3846,0.01,5,5,1.0,0,17,14,9,79,0.919,98.8,5,314,156,RichCream Whipping Cream
2024-06-08,6,5,SKU-030,30,Supplier-06,6,Warehouse-2,2,Route-12,Air,570,1,0.212,1,359,92.45,74.33,1.413,0.0308,15,12,1.138,0,20,5,22,97,0.661,78.57,5,277,160,DailyPress Sesame Oil
2024-02-13,2,1,SKU-047,47,Supplier-06,6,Warehouse-5,5,Route-20,Truck,1301,16,0.033,0,12,125.55,150.36,0.5591,0.0419,13,17,1.0,0,22,5,14,79,0.584,78.57,5,221,123,NutriDairy Toned Milk
2024-11-12,11,1,SKU-057,57,Supplier-01,1,Warehouse-2,2,Route-06,Truck,1447,18,0.063,0,51,77.98,54.05,1.0247,0.026,3,2,1.266,0,7,5,4,19,0.545,92.21,1,146,56,FreshChoice Cauliflower
2024-08-14,8,2,SKU-004,4,Supplier-11,11,Warehouse-1,1,Route-09,Truck,2194,27,0.259,0,350,162.33,379.06,2.8395,0.0541,9,6,1.0,0,10,21,7,196,0.99,107.32,5,189,189,RoyalKitchen Sona Masoori Rice
2024-08-14,8,2,SKU-043,43,Supplier-07,7,Warehouse-4,4,Route-20,Rail,347,3,0.176,1,5,73.43,54.98,1.2384,0.0245,14,14,1.0,0,11,5,8,78,0.631,36.79,20,205,129,CreamLand Cheese
2024-02-28,2,2,SKU-027,27,Supplier-05,5,Warehouse-2,2,Route-17,Truck,71,1,0.044,0,67,190.37,11.77,3.7192,0.0635,6,8,1.0,0,10,5,9,39,0.618,52.16,10,99,59,DesiTreat Cow Ghee
2024-12-13,12,4,SKU-023,23,Supplier-07,7,Warehouse-1,1,Route-10,Air,2280,5,0.124,0,277,181.55,243.19,2.6013,0.0605,12,19,1.441,0,11,5,18,78,0.682,36.79,20,121,103,NaturalPress Mustard Oil
2024-12-07,12,5,SKU-044,44,Supplier-10,10,Warehouse-4,4,Route-17,Truck,2431,30,0.458,1,125,27.83,363.02,0.378,0.01,15,21,1.342,0,15,10,6,156,0.891,49.72,20,386,257,DailyPure Curd
2024-11-02,11,5,SKU-020,20,Supplier-01,1,Warehouse-2,2,Route-13,Truck,2175,27,0.124,0,107,179.63,374.0,2.4689,0.0599,19,22,1.292,0,22,5,19,114,0.631,92.21,1,242,165,SelectPulse Moth Beans
2024-04-18,4,3,SKU-004,4,Supplier-01,1,Warehouse-2,2,Route-10,Truck,2053,26,0.091,0,291,162.33,328.79,0.4441,0.0541,9,10,1.0,0,11,5,13,58,0.653,92.21,1,175,99,RoyalKitchen Sona Masoori Rice
2024-06-16,6,6,SKU-050,50,Supplier-03,3,Warehouse-3,3,Route-10,Truck,2102,26,0.315,0,13,141.69,152.88,1.7471,0.0472,17,14,1.106,0,14,10,23,193,0.908,142.82,10,321,275,DesiMilk Ghee
2024-03-30,3,5,SKU-008,8,Supplier-01,1,Warehouse-4,4,Route-14,Truck,887,11,0.38,1,314,156.4,125.88,3.0173,0.0521,6,8,1.0,0,16,5,3,33,0.465,92.21,1,146,61,SelectGrain Barley
2024-09-13,9,4,SKU-009,9,Supplier-07,7,Warehouse-5,5,Route-08,Truck,1955,24,0.247,0,213,71.46,143.36,1.2267,0.0238,23,17,1.0,0,26,5,23,138,0.646,36.79,20,267,192,NutriRice Premium Rice
2024-07-22,7,0,SKU-036,36,Supplier-11,11,Warehouse-3,3,Route-03,Rail,596,5,0.114,0,3,158.98,35.6,2.9131,0.053,11,19,1.144,1,11,21,10,241,0.99,107.32,5,211,211,SweetBite Marie Biscuits
2024-01-10,1,2,SKU-056,56,Supplier-12,12,Warehouse-1,1,Route-14,Rail,1889,16,0.175,0,63,197.39,133.44,2.3148,0.0658,21,17,1.0,0,15,21,41,482,0.99,100.36,1,253,253,ChillZone Frozen Peas
2024-08-07,8,2,SKU-030,30,Supplier-02,2,Warehouse-3,3,Route-19,Sea,2268,76,0.363,1,242,92.45,173.98,0.4232,0.0308,15,10,1.0,0,24,21,32,347,0.99,119.97,1,342,342,DailyPress Sesame Oil
2024-05-28,5,1,SKU-037,37,Supplier-07,7,Warehouse-6,6,Route-14,Truck,1612,20,0.058,0,349,22.79,231.46,0.316,0.01,10,9,1.0,0,19,5,4,54,0.506,36.79,20,271,116,SnackMagic Masala Chips
2024-03-28,3,3,SKU-008,8,Supplier-07,7,Warehouse-1,1,Route-11,Rail,2479,21,0.305,1,187,156.4,363.81,3.0852,0.0521,6,3,1.0,0,18,5,8,38,0.511,36.79,20,92,48,SelectGrain Barley
2024-02-15,2,3,SKU-052,52,Supplier-10,10,Warehouse-4,4,Route-12,Truck,1081,14,0.106,0,8,165.26,63.89,3.1192,0.0551,15,16,1.0,0,24,10,22,172,0.87,49.72,20,165,165,FarmFresh Tomatoes
2024-10-28,10,0,SKU-028,28,Supplier-02,2,Warehouse-2,2,Route-14,Air,2281,5,0.29,1,97,116.82,205.56,0.1792,0.0389,14,10,1.0,0,14,21,16,310,0.99,119.97,1,294,294,PureGold Buffalo Ghee
2024-06-07,6,4,SKU-026,26,Supplier-09,9,Warehouse-1,1,Route-13,Rail,52,1,0.051,1,391,190.26,13.03,0.9546,0.0634,13,17,1.094,0,15,14,8,190,0.936,98.8,5,201,201,TastyDrop Coconut Oil
2024-03-27,3,2,SKU-048,48,Supplier-06,6,Warehouse-2,2,Route-11,Rail,348,3,0.165,0,14,24.72,31.89,0.408,0.01,5,7,1.0,1,18,5,7,32,0.439,78.57,5,280,98,RichCream Whipping Cream
2024-09-28,9,5,SKU-005,5,Supplier-09,9,Warehouse-6,6,Route-04,Truck,2053,26,0.179,0,197,198.15,362.47,2.0683,0.066,17,17,1.0,0,17,14,42,280,0.972,98.8,5,226,226,GrainLand Idli Rice
2024-11-26,11,1,SKU-033,33,Supplier-04,4,Warehouse-3,3,Route-12,Truck,186,2,0.445,1,3,136.14,24.99,2.247,0.0454,9,10,1.469,0,10,10,13,103,0.915,130.45,5,227,161,ChocoMelt Cookies
2024-03-15,3,4,SKU-053,53,Supplier-03,3,Warehouse-2,2,Route-04,Air,369,1,0.355,1,32,142.72,48.13,1.0105,0.0476,18,17,1.0,0,20,10,19,199,0.897,142.82,10,329,278,NatureBasket Potatoes
